ID;type;transition;z;ez;FWHM;eFWHM;SdV;eSdV;L_transition;eL_transition;magnification;err_magnification;reference
CGCG247-020;ULIRG;HCN(1-0);0.03;;;;5.06;0.79;378477890.5;59090421.63;1;;Privon et al. (2015)
CGCG049-057;ULIRG;HCN(1-0);0.01;;;;16.93;1.69;139297876.6;13905104.05;1;;Privon et al. (2015)
IRAS07251-0248;ULIRG;HCN(1-0);0.09;;;;1.85;0.58;1279805078;401236186.8;1;;Privon et al. (2015)
CGCG453-062;ULIRG;HCN(1-0);0.02;;;;5.12;0.84;169365326.1;27786498.81;1;;Privon et al. (2015)
NGC6907;ULIRG;HCN(1-0);0.01;;;;12.08;1.63;99392696.38;13411431.71;1;;Privon et al. (2015)
ESO593-IG008;ULIRG;HCN(1-0);0.05;;;;5.17;99;1084490839;99;1;;Privon et al. (2015)
IRAS21101+5810;ULIRG;HCN(1-0);0.04;;;;2.79;0.47;372796298.8;62800810.18;1;;Privon et al. (2015)
IRASF16399-0937;ULIRG;HCN(1-0);0.03;;;;4.06;0.53;303679888.4;39642941.09;1;;Privon et al. (2015)
CGCG141-034;ULIRG;HCN(1-0);0.02;;;;5.33;1.05;176311950.8;34733123.52;1;;Privon et al. (2015)
CGCG011-076;ULIRG;HCN(1-0);0.02;;;;5.75;0.79;190205200.2;26132540.55;1;;Privon et al. (2015)
CGCG052-037;ULIRG;HCN(1-0);0.02;;;;3.53;0.63;116769453.3;20839874.11;1;;Privon et al. (2015)
CGCG043-099;ULIRG;HCN(1-0);0.04;;;;2.85;99;380813423.5;99;1;;Privon et al. (2015)
ESO602-G025;ULIRG;HCN(1-0);0.02;;;;4.43;1.11;146540702.1;36717873.43;1;;Privon et al. (2015)
NGC6286;ULIRG;HCN(1-0);0.02;;;;8.6;1.16;284480821.2;38371831.69;1;;Privon et al. (2015)
NGC5257;ULIRG;HCN(1-0);0.02;;;;2.06;0.53;68143080.42;17531957.58;1;;Privon et al. (2015)
NGC5258;ULIRG;HCN(1-0);0.02;;;;2.27;0.53;75089705.13;17531957.58;1;;Privon et al. (2015)
MCG-02-01-051;ULIRG;HCN(1-0);0.03;;;;0.9;0.26;67318201.86;19447480.54;1;;Privon et al. (2015)
MCG-02-01-052;ULIRG;HCN(1-0);0.03;;;;3.01;0.69;225141986.2;51610621.43;1;;Privon et al. (2015)
NGC2623;ULIRG;HCN(1-0);0.02;;;;13.82;2.53;457154063.8;83690288.09;1;;Privon et al. (2015)
NGC7591;ULIRG;HCN(1-0);0.02;;;;7.12;0.95;235523656.6;31425206.99;1;;Privon et al. (2015)
NGC5936;ULIRG;HCN(1-0);0.01;;;;6.38;0.84;52493824.74;6911412.662;1;;Privon et al. (2015)
NGC6701;ULIRG;HCN(1-0);0.01;;;;14.61;1.16;120209213.1;9544331.772;1;;Privon et al. (2015)
IRASF17138-1017;ULIRG;HCN(1-0);0.02;;;;4.38;0.53;144886743.8;17531957.58;1;;Privon et al. (2015)
IRAS18090+0130;ULIRG;HCN(1-0);0.03;;;;3.53;0.53;264036947.3;39642941.09;1;;Privon et al. (2015)
IRASF23365+3604;ULIRG;HCN(1-0);0.06;;;;4.27;1.42;1295754318;430906588.3;1;;Privon et al. (2015)
UGC05101;ULIRG;HCN(1-0);0.04;;;;11.44;1.05;1528598444;140299682.3;1;;Privon et al. (2015)
